Vehicle,Length (m),Payload Mass to LEO (kg),Origin,First Flight,Initial Mass (kg)
Falcon 9,70.0,22800,USA,2010.0,549000
Falcon Heavy,70.0,63800,USA,2018.0,1420000
Atlas V,62.5,13550,USA,2002.0,335000
Delta IV Heavy,72.0,28370,USA,2002.0,733000
SLS Block 1,98.0,95000,USA,2022.0,2600000
Starship,120.0,125000,USA,2024.0,5000000
Vulcan Centaur,61.0,27200,USA,2023.0,540000
Electron,18.0,300,USA,2015.0,12500
New Glenn,98.0,45000,USA,2021.0,862000
Saturn V,110.6,140000,USA,1967.0,3000000
Saturn IB,68.4,22700,USA,1966.0,640000
Space Shuttle,56.1,27500,USA,1981.0,2000000
Titan II,33.0,3800,USA,1962.0,154000
Atlas-Centaur,42.4,4800,USA,1962.0,230000
Delta II,38.9,2100,USA,1989.0,230000
Redstone,21.0,300,USA,1953.0,75000
Jupiter-C,19.0,500,USA,1957.0,29000
Vanguard,23.0,23,USA,1957.0,9200
Atlas D,23.0,1400,USA,1959.0,117000
Titan I,27.0,900,USA,1959.0,300000
Zenit-2,69.3,13740,Russia,1985.0,471000
Soyuz-2,46.0,7020,Russia,1966.0,313000
Proton-M,53.0,23000,Russia,1965.0,703000
Angara A5,55.4,24500,Russia,2014.0,761000
Energia,60.0,100000,Russia,1987.0,3600000
R-7 Semyorka,34.0,7000,Russia,1957.0,300000
Long March 2F,58.3,8400,China,1999.0,490000
Long March 5,57.0,25000,China,2016.0,837000
Long March 9,108.0,140000,China,,2200000
Ariane 5,53.0,21000,Europe,1996.0,750000
Ariane 4,58.9,7800,Europe,1988.0,470000
Vega,30.0,2300,Europe,2012.0,200000
Soyuz-FG (ESA),49.35,7200,Europe,2001.0,300000
